,0
OneHotEncoder107,1.0
OneHotEncoder119,1.0
OneHotEncoder184,1.0
OneHotEncoder8,1.0
OneHotEncoder187,1.0
OneHotEncoder110,1.0
OneHotEncoder125,1.0
OneHotEncoder85,1.0
OneHotEncoder120,1.0
OneHotEncoder144,1.0
OneHotEncoder132,1.0
OneHotEncoder175,1.0
OneHotEncoder135,1.0
OneHotEncoder199,1.0
OneHotEncoder60,1.0
OneHotEncoder68,1.0
OneHotEncoder151,1.0
OneHotEncoder52,1.0
OneHotEncoder94,2.0
OneHotEncoder116,2.0
OneHotEncoder4,2.0
OneHotEncoder153,2.0
OneHotEncoder89,2.0
OneHotEncoder113,2.0
OneHotEncoder77,2.0
OneHotEncoder27,2.0
OneHotEncoder59,2.0
OneHotEncoder140,2.0
OneHotEncoder44,2.0
OneHotEncoder137,2.0
OneHotEncoder86,2.0
OneHotEncoder195,2.0
OneHotEncoder122,2.0
OneHotEncoder198,2.0
OneHotEncoder128,2.0
OneHotEncoder76,3.0
OneHotEncoder73,3.0
OneHotEncoder93,3.0
OneHotEncoder159,3.0
OneHotEncoder28,3.0
OneHotEncoder162,3.0
GarageCond,3.0
OneHotEncoder163,3.0
OneHotEncoder194,3.0
OneHotEncoder176,3.0
OneHotEncoder40,3.0
OneHotEncoder101,3.0
OneHotEncoder204,3.0
LowQualFinSF,3.0
OneHotEncoder5,3.0
OneHotEncoder112,3.0
OneHotEncoder177,4.0
OneHotEncoder134,4.0
OneHotEncoder16,4.0
OneHotEncoder160,4.0
OneHotEncoder136,4.0
OneHotEncoder185,4.0
OneHotEncoder0,4.0
OneHotEncoder155,4.0
OneHotEncoder115,4.0
OneHotEncoder18,4.0
OneHotEncoder102,4.0
OneHotEncoder33,4.0
OneHotEncoder80,4.0
OneHotEncoder29,4.0
OneHotEncoder181,4.0
OneHotEncoder180,4.0
OneHotEncoder26,4.0
OneHotEncoder100,4.0
OneHotEncoder186,4.0
OneHotEncoder202,5.0
OneHotEncoder148,5.0
OneHotEncoder70,5.0
OneHotEncoder201,5.0
OneHotEncoder111,5.0
OneHotEncoder141,5.0
OneHotEncoder191,5.0
OneHotEncoder164,5.0
OneHotEncoder38,5.0
OneHotEncoder43,5.0
OneHotEncoder124,5.0
OneHotEncoder45,5.0
OneHotEncoder123,5.0
OneHotEncoder145,6.0
OneHotEncoder188,6.0
OneHotEncoder72,6.0
OneHotEncoder79,6.0
OneHotEncoder32,6.0
OneHotEncoder154,6.0
OneHotEncoder203,6.0
OneHotEncoder20,6.0
OneHotEncoder15,6.0
OneHotEncoder64,7.0
OneHotEncoder158,7.0
OneHotEncoder170,7.0
OneHotEncoder48,7.0
OneHotEncoder192,7.0
OneHotEncoder95,8.0
OneHotEncoder97,8.0
OneHotEncoder49,8.0
OneHotEncoder87,8.0
GarageQual,8.0
OneHotEncoder167,8.0
OneHotEncoder200,8.0
OneHotEncoder37,8.0
OneHotEncoder172,8.0
OneHotEncoder17,8.0
OneHotEncoder34,9.0
OneHotEncoder14,9.0
OneHotEncoder19,9.0
OneHotEncoder54,9.0
PoolArea,9.0
OneHotEncoder182,9.0
OneHotEncoder90,9.0
OneHotEncoder118,9.0
OneHotEncoder51,9.0
OneHotEncoder139,10.0
OneHotEncoder173,10.0
OneHotEncoder84,10.0
OneHotEncoder22,10.0
OneHotEncoder99,10.0
OneHotEncoder82,10.0
OneHotEncoder56,10.0
OneHotEncoder71,10.0
OneHotEncoder36,11.0
MiscVal,11.0
OneHotEncoder41,11.0
OneHotEncoder156,11.0
OneHotEncoder121,11.0
OneHotEncoder21,11.0
HalfBath,11.0
OneHotEncoder193,11.0
OneHotEncoder69,12.0
BsmtHalfBath,12.0
KitchenAbvGr,12.0
OneHotEncoder47,12.0
OneHotEncoder189,12.0
OneHotEncoder83,13.0
ExterCond,13.0
OneHotEncoder88,13.0
OneHotEncoder65,13.0
OneHotEncoder91,14.0
OneHotEncoder81,14.0
OneHotEncoder23,14.0
OneHotEncoder35,14.0
OneHotEncoder61,15.0
ExterQual,15.0
OneHotEncoder62,15.0
OneHotEncoder161,15.0
FullBath,16.0
BsmtFullBath,16.0
BsmtCond,16.0
OneHotEncoder58,16.0
OneHotEncoder114,16.0
OneHotEncoder96,16.0
OneHotEncoder67,18.0
OneHotEncoder92,18.0
OneHotEncoder98,18.0
OneHotEncoder117,18.0
OneHotEncoder55,19.0
OneHotEncoder63,20.0
3SsnPorch,20.0
BsmtFinSF2,21.0
GarageCars,21.0
Fireplaces,23.0
HeatingQC,23.0
BsmtQual,28.0
ScreenPorch,32.0
BedroomAbvGr,36.0
EnclosedPorch,46.0
TotRmsAbvGrd,61.0
YrSold,72.0
2ndFlrSF,76.0
OverallCond,79.0
WoodDeckSF,88.0
MasVnrArea,97.0
OverallQual,99.0
MoSold,107.0
GarageYrBlt,112.0
1stFlrSF,118.0
YearRemodAdd,124.0
OpenPorchSF,124.0
YearBuilt,136.0
TotalBsmtSF,136.0
BsmtFinSF1,144.0
GarageArea,150.0
MSSubClass,163.0
GrLivArea,167.0
BsmtUnfSF,172.0
LotFrontage,251.0
LotArea,262.0
